question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is a React component?","A database","A reusable piece of user interface","A CSS file","A server","1"
"Which type of component is commonly used in modern React?","Class component","Functional component","Database component","HTML component","1"
"How should a React component name normally start?","With a number","With a lowercase letter","With a capital letter","With a special character","2"
"What does component reuse mean?","Deleting a component","Using the same component multiple times","Using only one component","Changing React version","1"
"What is component nesting?","Installing a component","Using one component inside another component","Removing a component","Converting JSX to CSS","1"
"Which syntax is used to render a React component?","<Component />","[Component]","{Component}","(Component)","0"
"Which attribute is used instead of class in JSX?","css","className","classValue","styleName","1"
"Which JSX attribute is used to handle a click event?","onclick","clickEvent","onClick","handleClick","2"
"How are JavaScript expressions written inside JSX?","Using []","Using ()","Using {}","Using ##","2"
"Which of the following can be used inside JSX curly braces?","Variables","Calculations","Function calls","All of these","3"
"What is the purpose of React Fragments?","To add CSS","To group elements without adding an extra DOM element","To create a database","To install packages","1"
"Which is the short syntax for a React Fragment?","<div></div>","<fragment></fragment>","<></>","<group></group>","2"
"Which method is commonly used to render a list dynamically in React?","filter()","map()","push()","sort()","1"
"Why is className used in JSX instead of class?","class is a CSS property","class is a reserved keyword in JavaScript","class does not work in HTML","React does not support CSS","1"
"What does a functional component return?","SQL","JSX or React elements","CSS only","JSON only","1"
"Which component is the parent in this code: <App><Header /></App>?","Header","App","Both","Neither","1"
"Why should components be organized into separate files?","To make the project harder","To keep the project organized and maintainable","To remove JSX","To avoid using JavaScript","1"
"Which file extension is commonly used for React components containing JSX?","jsx","sql","php","db","0"
"Which statement about reusable components is correct?","They can only be used once","They can be used multiple times with different data","They cannot receive data","They cannot contain JSX","1"
"What is the main purpose of JSX in React?","To write HTML-like UI syntax inside JavaScript","To create databases","To replace CSS","To manage servers","0"
