question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is React?","Programming Language","JavaScript Library","Database","Operating System","1"
"Who originally developed React?","Google","Microsoft","Facebook (Meta)","Amazon","2"
"Why is React mainly used?","Building user interfaces","Managing databases","Creating operating systems","Managing servers","0"
"Which approach does React use to build user interfaces?","Component-based approach","File-based approach","Database-based approach","Server-only approach","0"
"What is a component in React?","A database table","A reusable piece of UI","A CSS property","A server","1"
"What does SPA stand for?","Single Page Application","Simple Page Application","Single Program Application","Static Page Application","0"
"What is a major benefit of an SPA?","Full page reload on every action","Smooth navigation without full page reload","No JavaScript is required","It only works offline","1"
"What is Vanilla JavaScript?","JavaScript without a library or framework","A JavaScript database","A CSS framework","A JavaScript server","0"
"Which tool is commonly used to create a new React project quickly?","Vite","MongoDB","Express","MySQL","0"
"What is npm used for?","Managing JavaScript packages","Creating HTML tags","Designing CSS","Managing databases","0"
"Which command is commonly used to create a Vite project?","npm start react","npm create vite@latest","npm install react-project","vite new react","1"
"Which command installs project dependencies?","npm run dev","npm start","npm install","npm build","2"
"Which command starts the Vite development server?","npm run dev","npm install","npm create","npm remove","0"
"Which folder usually contains the main React source code?","public","node_modules","src","package-lock.json","2"
"Which file is commonly used as the main React component in a Vite project?","App.jsx","index.html","package.json","vite.config.js","0"
"What does JSX allow developers to write?","HTML-like syntax inside JavaScript","SQL inside CSS","Java inside HTML","Python inside JavaScript","0"
"Which syntax is used to write JavaScript expressions inside JSX?","[]","()","{}","<>","2"
"Which attribute is used instead of class in JSX?","className","cssClass","classNameValue","styleClass","0"
"Which statement about JSX is correct?","JSX tags must be properly closed","JSX never uses JavaScript","JSX can only contain CSS","JSX cannot use variables","0"
"Which React feature helps efficiently update the user interface?","Virtual DOM","SQL Database","CSS Grid","Node Package Manager","0"
