question,optionA,optionB,optionC,optionD,correctOptionIndex
"What are Hooks in React?","CSS properties","Special functions that let functional components use React features","HTML tags","Database functions","1"
"In which React version were Hooks introduced?","React 15","React 16.8","React 17","React 18","1"
"Which of the following is a commonly used React Hook?","useEffect","useHTML","useCSS","useComponent","0"
"What is one important Rule of Hooks?","Hooks can be called inside loops","Hooks can be called inside conditions","Hooks must be called at the top level","Hooks can only be called inside classes","2"
"Where should Hooks normally be called?","Inside regular JavaScript functions only","At the top level of React functions","Inside CSS files","Inside HTML tags","1"
"Can Hooks be called inside conditions or loops?","Yes, always","No","Only inside loops","Only inside if statements","1"
"What is the main purpose of useEffect?","To handle side effects","To create CSS","To define HTML","To create database tables","0"
"Which of the following is an example of a side effect?","Fetching data from an API","Writing JSX","Declaring a variable","Creating a component name","0"
"When does the function passed to useEffect normally run?","Before the component is created","After the component renders","Only when the browser closes","Before JSX is written","1"
"What does the dependency array in useEffect control?","When the effect should run again","The component's CSS","The HTML structure","The number of props","0"
"What happens when useEffect has an empty dependency array []?","It runs after every render","It runs only once after the initial render","It never runs","It runs only when props change","1"
"What happens if the dependency array is omitted from useEffect?","The effect runs after every render","The effect never runs","The effect runs only once","The component is deleted","0"
"When does an effect with dependencies run again?","Whenever any dependency changes","Only when the page closes","Only once","Whenever CSS changes","0"
"What is a cleanup function in useEffect?","A function returned from the effect to clean up resources","A function that deletes React","A CSS function","A function that creates state","0"
"When does the cleanup function run?","Before the effect runs again and when the component unmounts","Only when the browser starts","Only after a button click","Never","0"
"Which function can be used to clean up a setInterval?","removeInterval()","clearInterval()","deleteInterval()","stopTimer()","1"
"Where can API calls commonly be performed in a React component?","Inside useEffect","Inside CSS","Inside JSX text only","Inside the key prop","0"
"What is the purpose of storing API response data in state?","To display and use the data in the UI","To create CSS","To remove the component","To prevent rendering","0"
"What does useRef return?","A ref object with a current property","A JSX element","A CSS object","A new component","0"
"Does changing a useRef value normally cause a re-render?","Yes, always","No","Only on weekends","Only when using CSS","1"
"Which property is used to access the value stored in a ref?","value","current","data","refValue","1"
"What is a common use of useRef?","Focusing a DOM input element","Creating a database","Rendering CSS","Replacing JSX","0"
"What does useMemo primarily memoize?","The result of a calculation","A CSS class","An HTML tag","A component file","0"
"When does useMemo recalculate its value?","When its dependencies change","On every render regardless of dependencies","Only when the browser closes","Never","0"
"What does useCallback primarily memoize?","A function reference","A CSS property","An array only","An HTML element","0"
"Why can useCallback be useful when passing functions to child components?","It can keep the same function reference between renders","It automatically creates API calls","It prevents all rendering","It replaces state","0"
"What is a custom Hook?","A user-defined function that can use React Hooks","A CSS utility","A database function","An HTML element","0"
"What should the name of a custom Hook normally begin with?","get","use","hook","react","1"
"What is one major benefit of custom Hooks?","They allow reusable logic to be shared across components","They remove the need for React","They replace all components","They are used only for CSS","0"
"Which Hook is commonly used to directly access a DOM element?","useMemo","useRef","useCallback","useEffectOnly","1"
