question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is the main purpose of the map() method in React list rendering?","To delete an array","To transform array items into JSX elements","To create CSS","To submit a form","1"
"What does the map() callback run for?","Only the first item","Every item in the array","Only the last item","No items","1"
"Why are keys used when rendering lists in React?","To add styling","To identify list items between renders","To submit forms","To create state","1"
"Which prop is used to provide a key for a React list item?","id","key","indexKey","listKey","1"
"Which is the best example of a stable key?","key={Math.random()}","key={todo.id}","key={Date.now()}","key={true}","1"
"Why should keys be unique in a React list?","So React can identify each item correctly","So CSS works","So forms can submit","So props are deleted","0"
"What can happen when incorrect or unstable keys are used?","React may update list items incorrectly","The browser always closes","CSS stops working","The database is deleted","0"
"How does data normally flow from a parent component to a child component?","Through props","Through CSS","Through database queries","Through HTML comments","0"
"Which is an example of parent-to-child communication?","Parent passes todo data to TodoItem using props","Child changes parent state directly","Child modifies CSS","Parent receives data through a callback","0"
"What are callback props?","CSS properties","Functions passed from a parent to a child as props","Database values","HTML attributes","1"
"How can a child component communicate data back to its parent?","By directly modifying parent state","By calling a callback function passed as a prop","By changing CSS","By using HTML","1"
"What is lifting state up in React?","Deleting component state","Moving shared state to a common parent component","Moving state into CSS","Copying state into every child","1"
"Why is state lifted up to a common parent?","To allow multiple components to share and update the same state","To remove props","To avoid using JavaScript","To create CSS automatically","0"
"What is shared state?","State used by more than one component","State used only by CSS","State stored only in HTML","State that cannot change","0"
"Which component commonly holds shared state after lifting state up?","A common parent component","A CSS component","The browser","Only the child component","0"
"What does a child receive through the todo prop?","The todo data from the parent","A CSS file","A database connection","An HTML document","0"
"In the example, what does the onToggle prop contain?","A callback function","A CSS class","A string only","A database record","0"
"What happens when the child calls onDelete(todo.id)?","The parent receives the id through the callback","The child is automatically deleted","The page reloads","The CSS is removed","0"
"Which array method is used to update a specific todo while creating a new array?","filter()","map()","push()","findIndex() only","1"
"Which array method is used to remove a todo from the list?","map()","filter()","push()","join()","1"
"What does filter() do in the handleDelete function?","Keeps todos whose id does not match the selected id","Changes every todo","Adds a new todo","Sorts the todos","0"
"Why is todo.id used as the key in the TodoItem component?","It provides a unique and stable identity for the item","It changes the CSS","It submits the form","It creates a new state","0"
"What does the spread operator {...todo} do in handleToggle?","Creates a copy of the todo object","Deletes the todo","Creates a CSS class","Converts the object to a string","0"
"How is the completed value toggled in handleToggle?","completed: !todo.completed","completed: todo.completed","completed: delete","completed: trueOnly","0"
"What does the onToggle callback receive from TodoItem?","The todo id","The CSS class","The entire HTML page","The key prop only","0"
"What makes a React component reusable?","It can be used in multiple places with different data","It can only be used once","It cannot receive props","It must contain CSS","0"
"How can reusable components receive different data?","Through props","Through HTML comments","Through CSS selectors","Through browser settings","0"
"What is the relationship between props and component communication?","Props allow data and functions to be passed between components","Props are only used for styling","Props store database records","Props replace JavaScript","0"
"In the Todo example, where is the todos state stored?","Inside TodoItem","Inside App","Inside the CSS file","Inside the browser URL","1"
"What is the overall communication cycle shown in the example?","Data flows down through props and events flow up through callback props","Data only flows from child to child","Data only flows through CSS","Data flows only through the database","0"
