question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is Real-World React?","Building only small UI demos","Building a complete production-ready React application","Writing only CSS","Creating only static HTML pages","1"
"What is the purpose of project architecture?","To organize files and folders clearly","To increase image size","To remove all components","To avoid using APIs","0"
"Which folder commonly contains reusable UI pieces?","pages","services","components","utils","2"
"What is usually stored in the pages folder?","Full application screens","API functions","Database models","Environment variables","0"
"What is the main purpose of a service layer?","To store CSS styles","To centralize API calls","To create HTML files","To manage images only","1"
"What does authentication verify?","The screen size","The user's identity","The API speed","The browser version","1"
"Where can an authentication token commonly be stored?","localStorage or a cookie","CSS file","package.json only","HTML comment","0"
"What is a protected dashboard?","A page accessible only to logged-in users","A public home page","A CSS component","A database collection","0"
"Which React Router component can redirect an unauthenticated user?","Link","Navigate","Outlet","BrowserRouter","1"
"What does CRUD stand for?","Create, Read, Update, Delete","Copy, Run, Upload, Download","Create, Route, Use, Deploy","Code, React, Update, Design","0"
"Which operation is used to add new data in CRUD?","Read","Delete","Create","Update","2"
"Which HTTP method is commonly used to retrieve data?","POST","GET","DELETE","PATCH","1"
"Which HTTP method is commonly used to delete data?","GET","POST","DELETE","PUT","2"
"What is API integration?","Connecting the frontend to a backend","Adding only CSS animations","Creating a local component","Removing backend logic","0"
"Which functions could be placed in a service layer for course management?","getCourses and createCourse","renderPage and stylePage","startCSS and stopCSS","createHTML and deleteHTML","0"
"What is the main purpose of form validation?","To make the form colorful","To ensure user input is correct","To increase bundle size","To remove API calls","1"
"Which library is mentioned for form validation?","react-hook-form","React Router","Axios","Redux Toolkit","0"
"Which is an example of a reusable component?","Button","Database","API server","Environment file","0"
"What is a benefit of reusable components?","They increase code duplication","They reduce duplication and keep UI consistent","They remove all state","They prevent routing","1"
"What can be used to manage global state in React?","Context API or Redux Toolkit","Only CSS","HTML tables","BrowserRouter only","0"
"What does global state contain?","Data needed by many parts of the application","Only CSS properties","Only images","Only route names","0"
"What is the purpose of error handling?","To make the application respond gracefully when something goes wrong","To remove all API requests","To disable forms","To increase loading time","0"
"Which block is commonly used to catch errors in asynchronous code?","try/catch","if/else only","map/filter","switch only","0"
"What should an application show while an API request is pending?","A loading state","A database error","A blank production build","A new browser window","0"
"What are environment variables commonly used for?","Storing configuration values that differ between environments","Creating React components","Rendering lists","Managing CSS classes","0"
"How are Vite environment variables accessed in the frontend?","process.config","import.meta.env","window.env only","React.env","1"
"Which prefix is commonly required for client-side Vite environment variables?","PUBLIC_","REACT_","VITE_","CLIENT_","2"
"Which technique can improve React application performance by loading only required code?","Code splitting","Prop drilling","Hard coding","Duplicate rendering","0"
"What does a production build generally do?","Creates an optimized version ready to be served","Deletes the entire project","Only changes component names","Removes all API calls","0"
"Which folder can contain the optimized static files after a production build?","node_modules","src","dist","components","2"
"What is deployment?","Putting the production application online for users","Creating a React component","Writing a reducer","Validating a form","0"
"Which is a React best practice?","Keeping components small and focused","Putting all code in one component","Ignoring errors","Hardcoding sensitive data","0"
