question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is React Router used for?","Managing databases","Navigation between different views in a React application","Creating CSS animations","Sending emails","1"
"What does a route define in React Router?","A mapping between a URL path and a component","A database connection","A CSS rule","An API response","0"
"Which component is used to provide routing context to a React application?","BrowserRouter","RouterLink","RouteProvider","NavigationRouter","0"
"What is the purpose of the Routes component?","It contains Route elements","It creates database tables","It styles navigation links","It handles API requests","0"
"Which component is used to define a URL path and its corresponding UI?","Link","Route","NavLink","NavigateOnly","1"
"Which component is commonly used for normal navigation in React Router?","Link","Route","BrowserRouter","Outlet","0"
"What is the main advantage of Link over a regular anchor tag in a React SPA?","It prevents a full page reload","It creates a database","It automatically logs in users","It changes CSS","0"
"What is NavLink mainly used for?","Creating API requests","Navigation menus with active link styling","Managing state","Fetching data","1"
"What happens when a NavLink matches the current URL?","It receives an active class/state","It is deleted","The page reloads","The route becomes dynamic","0"
"What does the to prop of Link or NavLink specify?","The destination path","The component state","The API method","The CSS file","0"
"What does the useNavigate hook provide?","A navigate function for programmatic navigation","A database connection","A CSS class","A list of routes","0"
"Which code is used to navigate programmatically to the dashboard?","navigate('/dashboard')","go('/dashboard')","route('/dashboard')","link('/dashboard')","0"
"When is useNavigate commonly useful?","After actions such as login or form submission","Only for CSS","Only for database queries","Only for rendering arrays","0"
"What is a dynamic route?","A route containing a variable part in its path","A route that changes CSS","A route without a path","A route that cannot be accessed","0"
"Which syntax represents a dynamic route parameter?","/course/id","/course/:id","/course/{id}","/course/[id]","1"
"Which Hook is used to read dynamic route parameters?","useState","useEffect","useParams","useNavigate","2"
"If the URL is /course/25 and the route is /course/:id, what is the value of id?","course","25","id","/course","1"
"What does useParams() return?","The dynamic parameters from the current URL","The current CSS styles","The application state","The API response","0"
"What are nested routes?","Routes placed inside a parent route","Routes stored in a database","Routes used only for login","Routes without components","0"
"What component is commonly used to render child routes inside a parent layout?","Outlet","Link","Navigate","BrowserRouter","0"
"Why are nested routes useful?","They allow child pages to share a common layout","They remove the need for components","They prevent all navigation","They replace APIs","0"
"What is a 404 page in React Router?","A page shown when no route matches the URL","A login page","A dashboard page","An API error page only","0"
"Which path is commonly used as a catch-all route for a 404 page?","/404","/error","*","/not-found-only","2"
"What is a protected route?","A route that restricts access based on authentication","A route used only for CSS","A route that cannot have parameters","A route for API requests","0"
"What should usually happen when an unauthenticated user tries to access a protected route?","They are redirected to the login page","They are given admin access","The page reloads continuously","The route is deleted","0"
"Which component can be used to redirect a user to another route?","Navigate","LinkOnly","RedirectPage","RouteLink","0"
"In a protected route, what is checked to decide whether the user can access the page?","Authentication or login state","CSS state","Browser size only","Array length only","0"
"What usually happens after a successful login in a React Router application?","The user can be navigated to a protected page such as the dashboard","The application is deleted","All routes are removed","The browser is closed","0"
"What usually happens after logout?","The session is cleared and the user is redirected to the login page","The user is automatically made an admin","All components are deleted","The URL cannot change","0"
"Which component wraps the Routes and navigation components in the example?","BrowserRouter","Navigate","Route","NavLink","0"
