question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is an API?","A set of rules that allows software applications to communicate","A CSS file","A database table","An HTML tag","0"
"What does REST stand for?","Remote Execution State Transfer","Representational State Transfer","React State Transfer","Representational Server Technology","1"
"Which HTTP method is used to retrieve data from a server?","POST","PUT","GET","DELETE","2"
"Which HTTP method is commonly used to create new data?","GET","POST","DELETE","PATCH","1"
"Which HTTP method is used to remove data from a server?","GET","POST","DELETE","PUT","2"
"What does CRUD stand for?","Create, Read, Update, Delete","Create, Remove, Upload, Download","Copy, Read, Update, Data","Create, Render, Use, Delete","0"
"Which CRUD operation is usually performed using GET?","Create","Read","Update","Delete","1"
"Which CRUD operation is usually performed using POST?","Read","Create","Update","Delete","1"
"Which CRUD operation is usually performed using PUT or PATCH?","Create","Read","Update","Delete","2"
"Which CRUD operation is usually performed using DELETE?","Create","Read","Update","Delete","3"
"What is fetch() in JavaScript?","A built-in function used to make HTTP requests","A React Hook","A CSS function","A database command","0"
"What does fetch() return?","A string immediately","A Promise","A JSX element","An array only","1"
"Which method is used to convert a fetch Response into JSON?","response.data()","response.json()","response.toJSON()","response.parse()","1"
"Which keywords can be used with fetch() to handle asynchronous operations?","async and await","class and extends","import and export","try and switch only","0"
"What is Axios?","A third-party JavaScript library for making HTTP requests","A React component","A CSS framework","A database","0"
"How is Axios different from fetch according to the lesson?","Axios automatically converts responses to JSON","Axios cannot make GET requests","Axios is built into HTML","Axios only works with CSS","0"
"What is the purpose of a GET request?","To delete data","To retrieve data","To create data","To update CSS","1"
"What is the purpose of a POST request?","To retrieve existing data","To create new data","To delete data","To stop a request","1"
"Where is new data commonly sent in a POST request?","Request body","CSS file","URL title only","Browser history","0"
"Which header is commonly used when sending JSON data?","Content-Type: application/json","Accept: text/css","Data-Type: HTML","Request-Type: React","0"
"What is the purpose of JSON.stringify() in a POST request?","To convert JavaScript data into a JSON string","To convert JSON into JSX","To delete data","To fetch an API","0"
"What is the difference between PUT and PATCH?","PUT generally replaces the entire record, while PATCH updates specific fields","PUT deletes data and PATCH creates data","There is no difference","PATCH is only used for GET requests","0"
"What is the purpose of loading state in an API-based UI?","To track whether an API request is in progress","To store CSS","To create an API","To delete records","0"
"What should a UI usually display while loading is true?","A loading message or spinner","A delete button only","An empty database","A CSS error","0"
"Why is error handling important in API requests?","It informs the user when a request fails","It makes CSS faster","It removes the need for APIs","It automatically creates data","0"
"Which block is commonly used to handle errors with async/await?","try/catch","if/else only","switch/case only","map/filter","0"
"What is the purpose of the finally block in the example?","To set loading to false regardless of success or failure","To create a new course","To delete the API","To convert data to JSON","0"
"Which array method is used to display courses as JSX elements?","filter()","map()","push()","reduce()","1"
"Which array method is used in the example to remove a deleted course from state?","map()","filter()","push()","sort()","1"
"What does a CRUD UI provide?","A user interface for creating, reading, updating, and deleting data","Only a login page","Only CSS components","Only static HTML","0"
