question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is the main purpose of the Context API in React?","To create CSS","To share data across components without passing props through every level","To make API requests","To create database tables","1"
"What problem does the Context API mainly solve?","Prop drilling","API errors","CSS conflicts","Database errors","0"
"What is prop drilling?","Passing props through multiple components to reach a deeply nested component","Creating multiple CSS files","Fetching data from an API","Deleting unused props","0"
"Which function is used to create a Context?","createContext","createState","createProvider","useContextOnly","0"
"Which Hook is used to read a Context value?","useState","useEffect","useContext","useReducer","2"
"What does a Context Provider do?","Supplies a value to its child components","Creates a database","Deletes state","Creates API endpoints","0"
"What is the main purpose of useReducer?","Managing complex state logic","Creating CSS animations","Fetching images only","Rendering HTML","0"
"What does useReducer return?","State and a dispatch function","Only state","Only a reducer","Props and state","0"
"What is a reducer function?","A function that receives state and an action and returns new state","A CSS function","A function that fetches images","A component that renders HTML","0"
"What is an action in useReducer or Redux?","An object describing what happened","A CSS property","A database table","A JSX component","0"
"Which property is commonly required in a Redux action?","name","type","class","valueOnly","1"
"What is the purpose of the dispatch function?","To send an action to the reducer","To create CSS","To render an API response","To create a component","0"
"What is Redux?","A library for managing global state","A CSS framework","A database","A routing library","0"
"What is Redux Toolkit?","The official modern way to write Redux logic","A React Router package","A CSS library","A database management tool","0"
"What is the Redux store?","The central place that holds application state","A CSS file","A React component","An API endpoint","0"
"What is a slice in Redux Toolkit?","A part of the store that manages a specific feature","A piece of JSX","A CSS selector","A database record","0"
"Which Redux Toolkit function is used to create a slice?","createSlice","createStoreOnly","makeSlice","useSlice","0"
"What does a Redux reducer do?","Computes the new state in response to actions","Creates HTML pages","Sends emails","Defines CSS styles","0"
"What are selectors in Redux?","Functions used to read specific parts of the state","Functions used to create routes","CSS functions","API endpoints","0"
"What is the purpose of async thunks?","To handle asynchronous operations such as API calls","To create CSS animations","To render static HTML","To replace components","0"
"Which Redux Toolkit function is used to create an async thunk?","createAsyncThunk","createAsyncAction","useThunk","makeAsyncReducer","0"
"Which states are commonly handled by an async thunk?","Pending, fulfilled, and rejected","Start, stop, reset","Open, close, delete","Create, read, write","0"
"What is the main difference between Context and Redux?","Context is built into React, while Redux is a separate state management library","Context is only for CSS","Redux cannot manage state","There is no difference","0"
"When is Context often suitable?","For simple shared values such as theme or authentication","Only for databases","Only for large API responses","Only for CSS","0"
"When can Redux be useful?","For large applications with complex global state","Only for displaying text","Only for creating forms","Only for styling buttons","0"
"What is a custom Hook?","A user-defined function that can use React Hooks","A CSS class","A Redux action","A database function","0"
"How should the name of a custom Hook normally begin?","get","use","hook","react","1"
"What is React.memo commonly used for?","Reducing unnecessary re-renders of components","Fetching API data","Creating routes","Managing databases","0"
"What is lazy loading in React?","Loading components only when they are needed","Loading all components at startup","Deleting unused components","Loading CSS before HTML","0"
"Which React features are commonly used together for lazy loading?","React.lazy and Suspense","useState and useEffect","useRef and useMemo","Context and Redux","0"
