question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is an event in React?","A CSS property","An action that happens in the browser","A database record","A component","1"
"Which event is used when a button is clicked in React?","onChange","onSubmit","onClick","onHover","2"
"Which event is used when the value of an input field changes?","onClick","onChange","onSubmit","onLoad","1"
"Which event is commonly used for handling form submission?","onClick","onSubmit","onChange","onInput","1"
"How are React event names usually written?","lowercase","UPPERCASE","camelCase","snake_case","2"
"Which is the correct React click event syntax?","onclick='handleClick'","onClick={handleClick}","click={handleClick}","on-click={handleClick}","1"
"What is the purpose of the onChange event in a form?","To submit the form","To update input-related state when the value changes","To reload the page","To create a component","1"
"What does e.target.value usually provide in an input change event?","The CSS class","The current input value","The component name","The previous state","1"
"Which method prevents the default form submission behavior?","stop()","preventDefault()","preventSubmit()","cancelForm()","1"
"Where is onSubmit usually attached in React?","The form element","The input element only","The body element","The CSS file","0"
"What is a controlled component in React forms?","An input controlled by React state","An input controlled only by CSS","An input that cannot be edited","An input without a value","0"
"Which expression correctly connects an input to a state variable named name?","state={name}","value={name}","input={name}","text={name}","1"
"Which function is commonly used to update form input state?","setStateValue","setName","updateInputOnly","changeValueOnly","1"
"What is conditional rendering in React?","Changing CSS automatically","Displaying UI based on a condition","Creating a database","Deleting components","1"
"Which operator is commonly used as a shorthand for if/else in React JSX?","&&","??","Ternary operator","++","2"
"What is the correct syntax of the ternary operator?","condition : true ? false","condition ? valueIfTrue : valueIfFalse","condition && value","if ? condition : true","1"
"What is displayed when the condition in a ternary operator is true?","The value after the colon","The value before the question mark","valueIfTrue","Nothing","2"
"Which operator can be used for short-circuit rendering in React?","&&","||=","++","%","0"
"What happens in the expression {isLoggedIn && <p>Welcome</p>} when isLoggedIn is true?","Nothing is rendered","The Welcome paragraph is rendered","The page reloads","An error occurs","1"
"What happens when the left side of && is falsy?","The right side is rendered","The right side is ignored","The page reloads","The component is deleted","1"
"Where are if/else statements normally written when used for React rendering?","Directly inside JSX","Inside the function body before return","Inside CSS","Inside HTML comments","1"
"Why can't a normal if/else statement be directly placed inside JSX?","JSX does not directly support statements in that position","React does not support conditions","JavaScript does not support if/else","CSS prevents it","0"
"Which JavaScript method is commonly used to render an array as a list in React?","filter()","map()","sort()","push()","1"
"What does the map() method do when rendering an array?","Deletes the array","Transforms each array item into a JSX element","Stops rendering","Creates a form","1"
"Why is the key prop used when rendering lists in React?","To add CSS","To identify list items efficiently","To submit forms","To store passwords","1"
"Which is a valid way to render an array of courses?","courses.show()","courses.map((course) => <li key={course}>{course}</li>)","courses.render()","courses.list()","1"
"What should each item in a React list generally have?","A unique key prop","A form","A button","A CSS file","0"
"If tasks.length > 0 is true, what does tasks.length > 0 && (...) do?","It renders the content inside parentheses","It deletes the tasks","It reloads the page","It stops the component","0"
"What is the main purpose of e.preventDefault() in a React form?","To prevent the default browser action such as page reload","To update state","To render an array","To create a key","0"
"Which React concept keeps form data and the UI synchronized using state?","Controlled components","List rendering","Props drilling","CSS rendering","0"
